Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13,0.05427672059162953,0.062258663268156995,0.05427672059162953,0.05959760770201683,1031788800,0.0,0.0
1986-03-14,0.05959761524415604,0.06279075992543066,0.05959761524415604,0.06172597035765648,308160000,0.0,0.0
1986-03-17,0.06172594738457088,0.06332282513639621,0.06172594738457088,0.06279073655605316,133171200,0.0,0.0
1986-03-18,0.06279074652318245,0.06332283518798694,0.06066177985307118,0.06119386851787567,67766400,0.0,0.0
1986-03-19,0.06119387582256619,0.06172596455088591,0.059597609637607026,0.06012969836592674,47894400,0.0,0.0
1986-03-20,0.06012970005456514,0.06012970005456514,0.058001345081515096,0.0585334338247776,58435200,0.0,0.0
1986-03-21,0.0585334393904889,0.05959761697820232,0.055872995421205336,0.05693717300891876,59990400,0.0,0.0
1986-03-24,0.056937163404194906,0.056937163404194906,0.0548088085878,0.05534089729189873,65289600,0.0,0.0
1986-03-25,0.05534090479257715,0.05640508234500885,0.054808816016361304,0.05640508234500885,32083200,0.0,0.0
1986-03-26,0.05640506973840694,0.05853342436758048,0.055872981081113555,0.058001335710287094,22752000,0.0,0.0
1986-03-27,0.058001343309386263,0.05906552076339722,0.058001343309386263,0.05906552076339722,16848000,0.0,0.0
1986-03-31,0.05906552256804012,0.05906552256804012,0.05746925633825259,0.0585334338247776,12873600,0.0,0.0
1986-04-01,0.05853342436758048,0.05853342436758048,0.058001335710287094,0.058001335710287094,11088000,0.0,0.0
1986-04-02,0.058001345081515096,0.05959761131130263,0.058001345081515096,0.0585334338247776,27014400,0.0,0.0
1986-04-03,0.05906552076339722,0.06066178694441365,0.05906552076339722,0.05906552076339722,23040000,0.0,0.0
1986-04-04,0.05906552076339722,0.05959760949040269,0.05906552076339722,0.05906552076339722,26582400,0.0,0.0
1986-04-07,0.05906551302487387,0.05959760168216725,0.05693715839570033,0.058001335710287094,16560000,0.0,0.0
1986-04-08,0.058001345081515096,0.05959761131130263,0.058001345081515096,0.0585334338247776,10252800,0.0,0.0
1986-04-09,0.058533430279939375,0.060129696413055565,0.058533430279939375,0.05959760770201683,12153600,0.0,0.0
